672,696,200,177
665,912,200,177
665,1129,200,177
664,1347,200,177
666,1858,200,177
667,2075,200,177
668,2292,200,177
670,2509,200,177
885,699,200,177
887,915,200,177
878,1130,200,177
880,1348,200,177
882,1858,200,177
882,2075,200,177
883,2294,200,177
887,2509,200,177
1535,698,200,177
1534,916,200,177
1535,1134,200,177
1534,1353,200,177
1533,1875,200,177
1531,2093,200,177
1532,2311,200,177
1531,2526,200,177
1754,695,200,177
1756,914,200,177
1757,1132,200,177
1757,1353,200,177
1755,1879,200,177
1752,2097,200,177
1751,2316,200,177
1751,2531,200,177
2406,704,200,177
2409,920,200,177
2412,1140,200,177
2416,1358,200,177
2405,1867,200,177
2406,2085,200,177
2403,2303,200,177
2403,2518,200,177
2624,704,200,177
2627,920,200,177
2629,1141,200,177
2632,1357,200,177
2623,1869,200,177
2625,2086,200,177
2623,2301,200,177
2620,2517,200,177
3272,702,200,177
3272,918,200,177
3276,1135,200,177
3272,1352,200,177
3275,1870,200,177
3274,2089,200,177
3269,2303,200,177
3266,2518,200,177
3483,707,200,177
3483,924,200,177
3485,1139,200,177
3481,1354,200,177
3483,1872,200,177
3481,2088,200,177
3480,2299,200,177
3478,2518,200,177
