genotype,treatment,mean,var,color,entropy,resid_entropy,ev,hell_ev,en_r1,en_r2,resid_en_r1,resid_en_r2,MV,hell_rep,MI_rep,mean_r1,mean_r2,var_r1,var_r2,perm.pval_rep
dgrp100,shock,0.30290219040219,0.048240964831545,gold,-0.22282449498702,2.19362726635246,NA,NA,-0.178437918328638,-0.247457153970455,2.21106887114461,2.02622962299529,0.733473322746949,0.00496144803061516,0.377407787767903,0.293958633958634,0.311845746845747,0.0573580375319192,0.0423982741865831,0.823512316722975
dgrp100,noShock,0.307975151210445,0.0423286599197736,darkgray,-0.26451723838392,2.16314851231699,NA,NA,-0.340165820098911,-0.232149761993817,1.80951425584928,2.07944154167984,1.14178961765414,0.0272204049610609,0.534382230897268,0.24810483634013,0.360361676721971,0.0406718512018549,0.0403136759152811,0.13597835713696
dgrp100,NA,0.305438670806318,0.0445238159620114,black,-0.254545834993698,2.20431718483614,0.104794763151402,0.00195630396760271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp208,shock,0.345317975675119,0.0566633046004166,gold,-0.396877553711994,1.64293475007103,NA,NA,-0.521550192551727,-0.294675183747317,2.09814738913507,1.63970635741561,4.22091416210237,0.0434355217158467,0.673011667009256,0.31210717387188,0.374100670571259,0.0237253996690552,0.0870313806904957,0.491906531288529
dgrp208,noShock,0.264015677808781,0.0693110210526846,darkgray,-0.274781337434686,1.8294963117203,NA,NA,-0.100867936851614,-0.454184372222068,1.68869931302872,1.67159527802125,3.77318252764185,0.0560227500639321,0.725336481385711,0.306874375624376,0.211266511266511,0.0977173366048241,0.0341155402771564,0.330762306202623
dgrp208,NA,0.303953648690491,0.0636568255183155,black,-0.247762820545516,1.90181627541241,0.784300801488846,0.0841137931140493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp373,shock,0.31857686975334,0.0734342417485855,gold,-0.192111307374655,1.95318902030072,NA,NA,-0.202362559526131,-0.149118570433569,1.98133251472398,1.80951425584928,0.616456480160721,0.0035943498233546,0.706991474368337,0.319748286843875,0.317238107364158,0.0696822911085566,0.0834085843543343,0.979806456270459
dgrp373,noShock,0.245259152612094,0.050472279082752,darkgray,-0.287931329060489,1.84950619277238,NA,NA,-0.403812659418973,-0.258605359576699,1.63043258262889,1.73476452102578,3.67503418658368,0.0465812852645636,0.725336481385711,0.227522824397824,0.26552924199983,0.0514276979684176,0.0524227011633953,0.643889122360723
dgrp373,NA,0.281918011182717,0.062269854556116,black,-0.23832697648438,1.85618633112293,0.957755462931896,0.0115120629601717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp91,shock,0.274511196714723,0.0590172822656445,gold,-0.273064883511562,1.84660197495987,NA,NA,-0.359638166037457,-0.323953124087429,1.71408754118701,1.85942881514923,2.10090107556368,0.0580683843364043,0.647744513087686,0.263353848008579,0.285668545420867,0.0805163188378457,0.0414670092192383,0.801385458406083
dgrp91,noShock,0.250796944770629,0.0482285992313334,darkgray,-0.280501301780358,2.04046044326082,NA,NA,-0.323954534853338,-0.302980573499048,1.58678470752805,1.65655112669665,5.46669927616859,0.0480197541129068,0.777661295762166,0.220464905464905,0.281128984076353,0.0522409067485796,0.0456896932125168,0.449348448317406
dgrp91,NA,0.262654070742676,0.0528570516879895,black,-0.28002983897715,1.84587590144115,0.274537405922628,0.00674094299476402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp195,shock,0.279008444444179,0.0416181394964296,gold,-0.311535387000475,2.07028211204127,NA,NA,-0.619264229238137,-0.149692281256055,2.08376603748565,1.94591014905531,1.91417661086464,0.0962569811196208,0.891023577952584,0.223049372617282,0.338964592830139,0.0216397490823754,0.0588502920569958,0.1262624392723
dgrp195,noShock,0.342245566422506,0.0861868474737769,darkgray,-0.125146422763528,2.04330126207398,NA,NA,-0.0297009304728366,-0.338987949018289,1.87116041423181,1.92739212613927,0.261514211855098,0.0639413194004713,0.811641103121246,0.423968721960685,0.2707378053266,0.125690844619151,0.0460081600149162,0.153802231580454
