genotype,shocked,trackid,learningscore
dgrp100,true,48,0.08232114945748059
dgrp100,true,9,0.01867854882091305
dgrp101,false,33,0.011162601108871129
dgrp101,false,34,0.007207846126734835
dgrp101,false,35,0.05058075860449923
dgrp101,false,36,0.03389063765395439
dgrp101,false,37,0.015365397152605542
dgrp101,false,38,0.008277847896247248
dgrp101,false,39,0.029312368580459824
dgrp101,false,40,0.013941487428134919
dgrp101,false,49,0.037247038342663574
dgrp101,false,50,0.0017982432734954257
dgrp101,false,51,0.023461260010930574
dgrp101,false,52,0.003979170917597086
dgrp101,false,53,0.009089349394171137
dgrp101,false,54,0.015818791843576263
dgrp101,false,55,0.007118266828962105
dgrp101,false,56,0.009050658427234737
dgrp101,false,41,0.0006640197227154032
dgrp101,false,42,0.0016519781385334886
dgrp101,false,43,0.009535529472617432
dgrp101,false,44,0.0243984772481666
dgrp101,false,45,0.0065819249509885824
dgrp101,false,46,0.012173163630603417
dgrp101,false,47,0.0037281847518428335
dgrp101,false,48,0.011789891413163972
dgrp101,false,57,0.003355352393446892
dgrp101,false,58,0.004453428782608987
dgrp101,false,59,0.010517109206348962
dgrp101,false,60,0.019435207092976442
dgrp101,false,61,0.025941661200283128
dgrp101,false,62,0.020067535176252843
dgrp101,false,63,0.005057829775133943
dgrp101,false,64,0.024055362456339546
dgrp101,true,1,0.005275303832187994
dgrp101,true,17,0.0043722107907412655
dgrp101,true,18,0.003023837275118957
dgrp101,true,19,0.02181815021551503
dgrp101,true,2,0.0028310234426333902
dgrp101,true,20,0.006454202881789051
dgrp101,true,21,0.031120730233859056
dgrp101,true,22,0.02051397681831521
dgrp101,true,23,0.014284914624004746
dgrp101,true,24,0.07841296681819168
dgrp101,true,3,0.02241080542731755
dgrp101,true,4,0.011048317744397101
dgrp101,true,5,0.007335454365278438
dgrp101,true,6,0.005967553818232968
dgrp101,true,7,0.005749771616172378
dgrp101,true,8,0.0038833020181079925
dgrp101,true,10,0.0020090412746546493
dgrp101,true,11,0.003381514179817219
dgrp101,true,12,0.025883340074321665
dgrp101,true,13,0.011270655023915
dgrp101,true,14,0.0961413563485227
dgrp101,true,15,0.012780100572993475
dgrp101,true,16,0.06588197570321899
dgrp101,true,25,0.0036284625216655153
dgrp101,true,26,0.0027595315126111575
dgrp101,true,27,0.0036195238411316777
dgrp101,true,28,0.024225868322337973
dgrp101,true,29,0.0013391121519568117
dgrp101,true,30,0.08102151797584417
dgrp101,true,31,0.01050879052060455
dgrp101,true,32,0.06867003411471562
dgrp101,true,9,0.00965271969898529
dgrp105,false,17,0.010027631432386303
dgrp105,false,18,0.021867165087040424
dgrp105,false,19,0.014208040887280754
dgrp105,false,20,0.01173722850651368
dgrp105,false,21,0.018834891153402006
dgrp105,false,22,0.03581134085454146
dgrp105,false,23,0.006946052622525706
dgrp105,false,24,0.015586966091201332
dgrp105,false,49,0.007013039372236296
dgrp105,false,50,0.02074501967245354
dgrp105,false,51,0.012020759724029051
dgrp105,false,52,0.008527087296993613
dgrp105,false,53,0.04272826297673146
dgrp105,false,54,0.005708728552424852
dgrp105,false,55,0.005075214455843635
dgrp105,false,56,0.014866537607521324
dgrp105,false,25,0.011608884673638159
dgrp105,false,26,0.005915930445133083
dgrp105,false,27,0.0029499797495872726
dgrp105,false,28,0.004117852663459071
dgrp105,false,29,0.015102975676565877
dgrp105,false,30,0.05881428689933316
dgrp105,false,31,0.11387124867490189
dgrp105,false,32,0.013081136620493511
dgrp105,false,57,0.01174788734919005
dgrp105,false,58,0.00213868538193554
dgrp105,false,59,0.02710791762118217
dgrp105,false,60,0.0172092139733942
dgrp105,false,61,0.01856744955802786
dgrp105,false,62,0.021002590772813967
dgrp105,false,63,0.016349563971428588
dgrp105,false,64,0.018939550958351092
dgrp105,true,1,0.04623356858520486
dgrp105,true,2,0.0014412796229257008
dgrp105,true,3,0.02813564990447137
dgrp105,true,33,0.03604731334706754
dgrp105,true,34,0.010546076194690418
dgrp105,true,35,0.002316639401265641
dgrp105,true,36,0.008453476197100934
dgrp105,true,37,0.039086257826536824
dgrp105,true,38,0.03978975499874851
dgrp105,true,39,0.001954976562911548
dgrp105,true,4,0.030303533247750203
dgrp105,true,40,0.012536467262188628
