genotype X 2L 2R 3L 3R
RAL_352 4,975(5.68) 140,940(64.69) 30,350(22.61) 1,142(0.78) 1,869(1.35)
RAL_356 1,078(1.25) 30,638(20.48) 18,040(13.98) 1,112(0.76) 963(0.71)
RAL_357 1,826(2.06) 1,769(1.22) 15,048(12.00) 1,827(1.24) 1,732(1.26)
RAL_358 2,615(2.95) 4,490(2.40) 10,245(7.99) 3,281(2.19) 3,140(2.23)
RAL_359 1,606(1.72) 2,413(1.22) 1,749(1.32) 12,421(7.93) 25,581(16.73)
RAL_360* 368(0.46) 445(0.34) 353(0.31) 11,008(8.11) 557(0.43)
RAL_362 653(0.75) 696(0.48) 669(0.55) 634(0.44) 573(0.41)
RAL_365 1,294(1.48) 1,103(0.75) 1,158(0.95) 1,370(0.89) 1,041(0.73)
RAL_367 1,016(1.18) 1,093(0.73) 1,360(1.06) 15,682(10.24) 9,053(6.20)
RAL_370 1,688(1.86) 1,760(1.15) 1,777(1.37) 1,990(1.28) 1,379(0.98)
RAL_371 817(0.97) 729(0.52) 850(0.69) 762(0.54) 835(0.62)
RAL_373 2,083(2.29) 2,035(1.30) 1,837(1.43) 5,030(3.31) 169,897(71.71)
RAL_374 1,131(1.32) 1,129(0.76) 1,024(0.81) 918(0.60) 753(0.55)
RAL_375 3,628(3.91) 4,226(2.70) 3,854(2.98) 28,320(17.12) 4,444(3.07)
RAL_377 1,996(2.14) 182,140(70.10) 112,491(56.01) 1,853(1.21) 1,672(1.15)
RAL_379 808(0.92) 650(0.45) 3,339(2.64) 930(0.63) 641(0.47)
RAL_380 3,968(4.65) 11,584(8.43) 13,953(11.18) 5,039(3.53) 5,583(4.26)
RAL_381 1,679(1.78) 169,856(68.54) 29,890(21.02) 2,206(1.45) 1,580(1.08)
RAL_383 1,594(1.78) 2,475(1.23) 1,545(1.22) 1,628(1.06) 1,175(0.84)
RAL_386 831(1.01) 902(0.52) 927(0.77) 728(0.55) 791(0.60)
RAL_391 3,491(3.51) 3,913(2.49) 25,692(17.80) 2,934(1.86) 2,976(1.94)
RAL_392 1,971(2.14) 1,721(1.14) 1,621(1.25) 36,277(22.51) 20,276(14.19)
RAL_399 1,533(1.69) 1,484(0.98) 1,716(1.32) 1,738(1.15) 1,513(1.05)
RAL_405 1,529(1.64) 150,280(65.53) 12,394(9.47) 1,193(0.79) 1,113(0.77)
RAL_406 2,107(2.31) 2,771(1.43) 1,749(1.36) 1,981(1.31) 1,697(1.22)
RAL_409 600(0.76) 599(0.44) 700(0.51) 538(0.39) 422(0.33)
RAL_426 1,604(1.76) 171,681(68.64) 134,814(68.21) 2,323(1.23) 1,301(0.91)
RAL_427 2,084(2.26) 2,149(1.41) 2,068(1.62) 2,096(1.34) 1,813(1.30)
RAL_437 1,484(1.66) 1,495(1.02) 1,508(1.21) 1,609(1.06) 1,270(0.93)
RAL_439 1,096(1.25) 951(0.65) 1,042(0.84) 868(0.60) 881(0.63)
RAL_440 1,172(1.32) 1,228(0.83) 1,261(1.00) 9,989(6.43) 159,475(68.70)
RAL_441 1,534(1.69) 1,581(1.05) 1,471(1.12) 1,527(0.99) 1,095(0.77)
RAL_443 2,090(2.27) 177,522(69.79) 14,532(11.05) 3,282(2.12) 6,111(4.11)
RAL_461 1,499(1.66) 1,284(0.87) 1,238(0.98) 1,278(0.85) 960(0.68)
RAL_486* 318(0.41) 2,014(1.57) 452(0.40) 561(0.43) 495(0.40)
RAL_491 1,124(1.26) 1,242(0.85) 1,348(1.06) 1,170(0.79) 1,153(0.81)
RAL_492 1,410(1.57) 2,597(1.28) 1,654(1.28) 1,811(1.17) 1,267(0.92)
