genotype,shocked,trackid,new_learningscore
dgrp208,false,31,0.02738444587514138
dgrp208,false,32,0.3249096531489539
dgrp208,false,57,-0.669487921119744
dgrp208,false,58,0.44953306324571807
dgrp208,false,60,0.2212886605541684
dgrp208,false,61,0.2792767872570353
dgrp208,false,62,0.11233282193934893
dgrp208,false,63,0.13136435702596433
dgrp208,false,64,-0.4552373061527515
dgrp208,true,1,0.6919990614769094
dgrp208,true,2,0.21064567967658998
dgrp208,true,3,-0.3688852239229804
dgrp208,true,33,0.6898298485156196
dgrp208,true,34,-0.10465166073470014
dgrp208,true,35,0.8434116353881168
dgrp208,true,36,-0.22882427969676578
dgrp208,true,37,0.37490852162573907
dgrp208,true,38,-0.5358687120303077
dgrp208,true,39,0.24553977684805484
dgrp208,true,4,-0.3457912585431114
dgrp208,true,40,-0.042695652234611504
dgrp208,true,5,-0.0778498944161523
dgrp208,true,6,0.2841782379707366
dgrp208,true,7,-0.05934485306940708
dgrp208,true,8,0.8378369590006131
dgrp208,true,10,-0.07525484204671229
dgrp208,true,11,0.74566675173482
dgrp208,true,12,0.5092424683427894
dgrp208,true,13,-0.03154481743462717
dgrp208,true,15,-0.4258344143268253
dgrp208,true,16,-0.4549421161336381
dgrp208,true,41,0.422337643500974
dgrp208,true,42,0.8053200918736056
dgrp208,true,43,-0.3944946638254472
dgrp208,true,44,-0.2598917718851782
dgrp208,true,45,0.22970937784758771
dgrp208,true,46,-0.3192431449047522
dgrp208,true,47,-0.13027496953567383
dgrp208,true,48,-0.36256113614830754
dgrp208,true,9,0.43507843998075046
dgrp373,false,17,-0.04440654196125446
dgrp373,false,18,0.06063951614367447
dgrp373,false,19,0.6431325807025143
dgrp373,false,20,-0.002993234757718049
dgrp373,false,21,-0.538399231467475
dgrp373,false,22,-0.2349532530683379
dgrp373,false,23,0.11324536629569051
dgrp373,false,24,-0.49677708267675447
dgrp373,false,49,0.10356209604565957
dgrp373,false,50,-0.2069317104663531
dgrp373,false,51,0.036475874059825004
dgrp373,false,52,0.06962667405002482
dgrp373,false,53,-0.45731261253976696
dgrp373,false,54,0.3967739216571864
dgrp373,false,55,-0.38268419752208704
dgrp373,false,56,0.3667225259678737
dgrp373,false,25,0.07043833514866932
dgrp373,false,26,-0.3860666378506533
dgrp373,false,27,0.7663381383960557
dgrp373,false,28,0.12112593427572937
dgrp373,false,29,0.05437551630415568
