"id","genotype","sex","exp_type","shock_color","shock_arm","treatment","replicates","ZT0","ZT","starting_arm","starting_color","frac_time_on_shocked","first_half_frac_time_on_shocked","second_half_frac_time_on_shocked","frac_14","frac_24","frac_34","frac_44","frac_time_on_shockArm","frac_time_on_neutral_left","frac_time_on_neutral_right","left_handedness","first_half_left_handedness","second_half_left_handedness","left_handedness_14","left_handedness_24","left_handedness_34","left_handedness_44","activity","first_half_activity","second_half_activity","activity_shock","activity_noShock","activity_shock_color","first_half_activity_shock_color","second_half_activity_shock_color","activity_noShock_color","first_half_activity_noShock_color","second_half_activity_noShock_color","activity_14","activity_24","activity_34","activity_44","activity_shock_color_14","activity_shock_color_24","activity_shock_color_34","activity_shock_color_44","activity_noShock_color_14","activity_noShock_color_24","activity_noShock_color_34","activity_noShock_color_44","total_choices","correct_choices","incorrect_choices","first_half_total_choices","first_half_correct_choices","first_half_incorrect_choices","total_choices_14","correct_choices_14","incorrect_choices_14","total_choices_24","correct_choices_24","incorrect_choices_24","total_choices_34","correct_choices_34","incorrect_choices_34","total_choices_44","correct_choices_44","incorrect_choices_44","analysis_time","bias_frac_time_on_shocked","bias_left_handedness","bias_activity","bias_activity_shock","bias_activity_noShock","bias_activity_shock_color","bias_activity_noShock_color","bias_total_choices","bias_correct_choices","bias_incorrect_choices","bias_analysis_time","post_frac_time_on_shocked","post_left_handedness","post_first_half_left_handedness","post_second_half_left_handedness","post_activity","post_activity_shock","post_activity_noShock","post_activity_shock_color","post_activity_noShock_color","post_total_choices","post_correct_choices","post_incorrect_choices","post_first_half_total_choices","post_first_half_correct_choices","post_first_half_incorrect_choices","post_analysis_time","group","group_sex","folder","experiment_date","second_half_total_choices","second_half_correct_choices","second_half_incorrect_choices","post_second_half_total_choices","post_second_half_correct_choices","post_second_half_incorrect_choices","experiment_by","head_scanned","abs_dev","abs_dev_sex","day"
"23","dgrp362","female","operant_place","blue","M","shock","2","11:00:00","17:46:54","M","B",0.158623317246635,0.246251588310038,0.0713197969543147,0.000509164969450102,0.490872210953347,0.00457084814626714,0.137931034482759,0.158623317246635,0.383667767335535,0.364490728981458,0.333333333333333,1,-0.333333333333333,1,1,1,-1,0.317203006944889,0.33932761845479,0.280305354863638,0.513926103448196,0.215151367224143,0.535088998675053,0.535088998675053,NA,0.190930230522437,0.170716422033746,0.235294690948195,0.29231483457711,0.376730007827456,0.161847205493173,0.398763504234106,0.535088998675053,NA,NA,NA,0.130780164053063,0.257769739951739,0.125439976175688,0.554165013473699,14,7,7,11,5,6,10,5,5,1,0,1,1,1,0,2,1,1,1200,0.301447776628749,0.4,0.876097959338805,NA,0.876097959338805,0.752606388953297,0.902523814615501,12,6,6,300,0.451595744680851,-1,-1,-1,0.421770084191742,NA,0.421770084191742,0.319098496352207,0.441683956120747,4,2,2,3,2,1,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",3,2,1,1,0,1,"goncalo",FALSE,0.076276165006435,0.108555205154079,NA
"24","dgrp362","female","operant_place","blue","R","shock","2","11:00:00","17:46:54","M","G",0.114554229108458,0.156543837357052,0.0725888324873096,0,0.31237322515213,0,0.145030425963489,0.114554229108458,0.303784607569215,0.502032004064008,-0.529411764705882,-0.636363636363636,-0.333333333333333,-0.2,-1,0.333333333333333,-1,0.72749206600583,0.943009883206952,0.527202527553894,0.729704624181881,0.707468495068224,0.701967193298102,0.701967193298102,NA,0.619564590076061,0.81468415679316,0.400340618153628,0.958184554193732,0.946269976663573,0.474588808464131,0.579816246643657,0.701967193298102,NA,NA,NA,0.894125737513976,0.765499892852931,0.337491232112038,0.517225147072437,20,17,3,14,12,2,6,6,0,8,6,2,3,3,0,3,2,1,1200,0.320062047569803,-0.555555555555556,1.13231728427739,NA,1.13231728427739,1.00335276562236,0.923122657830094,13,9,4,300,0.119387755102041,-1,-1,-1,0.741164743223714,NA,0.741164743223714,0.716513305182587,0.610609782839629,5,4,1,3,2,1,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",6,5,1,2,2,0,"goncalo",FALSE,0.120345253144611,0.152624293292255,NA
"29","dgrp362","female","operant_place","blue","M","shock","1","11:00:00","17:46:54","L","G",0.328083322748635,0.495806861499365,0.160700685453161,0,0.989350912778905,0.197054342305739,0.124302384576357,0.328083322748635,0.0589356026927474,0.598247173885431,0.6,1,0.5,NA,1,1,0,0.346003707695947,0.232829257560657,0.471921014595878,0.296914367872281,0.352845952513266,0.207283254964462,0.207283254964462,NA,0.34568183579428,0.388211269988939,0.202202128484231,0.260917104875521,0.196951585017584,0.563375229432305,0.380466799759451,0.146061027254399,0.341179977060699,NA,NA,0.225481782891742,0.540033839302707,0.202202128484231,NA,9,5,4,4,2,2,3,2,1,1,0,1,3,2,1,2,1,1,1200,0.063081695966908,-0.333333333333333,0.760493808065467,NA,0.760493808065467,0.65043786372664,0.591965492070439,9,5,4,300,0.0928571428571429,0,0,NA,0.338049479738063,NA,0.338049479738063,0.755267881584327,0.245999379564367,3,2,1,NA,NA,NA,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",5,3,2,NA,NA,NA,"goncalo",FALSE,0.093183840495565,0.0609048003479211,NA
"30","dgrp362","female","operant_place","blue","R","shock","1","11:00:00","17:46:54","L","G",0.0269354565475182,0.0538983050847458,0,0.108089734874235,0,0,0,0.0269354565475182,0.579705234626461,0.313569371506014,0.142857142857143,0,1,0,0,NA,1,0.430423686659885,0.679129676389869,0.185147903079984,1.8648200982917,0.389446244483799,1.56878047795536,1.56878047795536,NA,0.323717387962262,0.538774517192424,0.144066610858234,0.802231983773562,0.556527784889851,0.152763877614359,0.217531928545609,1.56878047795536,NA,NA,NA,0.536655745529566,0.540321131106662,0.156032537394646,0.131952956833718,16,14,2,15,13,2,13,11,2,2,2,0,0,0,0,1,1,0,900,0.163908996897622,0.333333333333333,0.891115197548927,NA,0.891115197548927,0.80542019905722,0.740607158727607,10,8,2,300,0,NA,NA,NA,0.227411693845002,NA,0.227411693845002,NA,0.227411693845002,1,1,0,NA,NA,NA,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",1,1,0,NA,NA,NA,"goncalo",FALSE,0.207964025705551,0.240243065853195,NA
"31","dgrp362","female","operant_place","blue","L","shock","2","11:00:00","17:46:54","L","B",0.44954128440367,0.461245235069886,0.43791517629024,0.0152749490835031,0.905172413793103,0.187404773996953,0.691161356628982,0.44954128440367,0.17749745158002,0.294087665647299,-0.428571428571428,-1,0,-1,-1,-1,1,0.314173091343918,0.255284860066168,0.367734658109707,0.233870412514764,0.342262548347354,0.234777859412534,0.245160186669289,0.0811577887976998,0.288516283507605,0.26786923021271,0.449706322129954,0.209330703365224,0.296866158727587,0.426997392188114,0.307740285338972,0.229172061075564,0.237408486527927,0.0811577887976998,NA,0.160538094725214,0.35472362956054,0.449706322129954,NA,9,6,3,4,2,2,3,2,1,1,0,1,2,2,0,3,2,1,1200,0.631851085832472,0.333333333333333,1.0275282966039,NA,1.0275282966039,0.941438563712863,0.712729464301463,10,5,5,300,1,NA,NA,NA,0.18094178668479,NA,0.18094178668479,0.18094178668479,NA,1,0,1,NA,NA,NA,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",5,4,1,NA,NA,NA,"goncalo",FALSE,0.2146418021506,0.182362762002956,NA
"32","dgrp362","female","operant_place","blue","M","shock","2","11:00:00","17:46:54","L","G",0.92162093495935,0.970012706480305,0.87328593194515,0.939918533604888,1,0.7465718638903,1,0.92162093495935,0.00368394308943089,0.0633892276422764,-0.333333333333333,1,-0.6,1,NA,-0.6,NA,0.245541900535679,0.226455644037817,0.263367754858573,0.153120550699282,1.38807568745812,0.132566236742849,0.165458526828318,0.0940066204996686,1.08518915665477,1.08518915665477,NA,0.279031772287791,0.148834015085973,0.485045495735395,0.0416900139817512,0.192325119546626,0.146246139452275,0.137249252548577,0.0379713764696251,1.08518915665477,NA,NA,NA,8,4,4,2,1,1,2,1,1,0,0,0,NA,NA,NA,NA,NA,NA,1200,0.302998965873837,-0.428571428571428,0.845996945649196,NA,0.845996945649196,0.824609828372418,0.676715159851955,10,7,3,300,1,NA,NA,NA,0.126489342677666,NA,0.126489342677666,0.126489342677666,NA,1,0,1,NA,NA,NA,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",6,3,3,NA,NA,NA,"goncalo",FALSE,0.68672145270628,0.654442412558636,NA
"37","dgrp362","female","operant_place","blue","L","shock","2","11:00:00","17:46:54","M","G",0.577978155956312,0.936467598475222,0.22005076142132,0.872708757637475,1,0.440325038090401,0,0.577978155956312,0.000508001016002032,0.321691643383287,-0.333333333333333,-0.333333333333333,-0.333333333333333,-0.333333333333333,NA,-0.333333333333333,NA,0.35222530067412,0.283498897712178,0.439257719147101,0.265267515167088,0.478995915260844,0.255876073289288,0.229633731271249,0.299138390400054,0.447195014606127,0.447195014606127,NA,0.336491202383177,0.249917772657677,0.491811408602814,0.386704029691388,0.204878066051018,0.264531582838108,0.299138390400054,NA,0.502933633264472,0.389124860611234,NA,NA,22,19,3,6,4,2,6,4,2,0,0,0,15,14,1,1,1,0,1200,0.872285418821096,-1,0.706549987165243,NA,0.706549987165243,0.541222514414139,NA,8,4,4,300,0.0826530612244898,1,1,1,0.604992413165161,NA,0.604992413165161,0.501773245584369,0.581181839264974,8,7,1,2,2,0,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",16,15,1,6,5,1,"goncalo",FALSE,0.343078673703242,0.310799633555599,NA
"38","dgrp362","female","operant_place","blue","M","shock","2","11:00:00","17:46:54","R","G",0.5500381000762,0.455908513341804,0.644162436548223,0.236761710794297,0.67393509127789,1,0.289046653144016,0.5500381000762,0.000127000254000508,0.161925323850648,-1,-1,-1,-1,NA,NA,-1,0.330423850789421,0.291016133561575,0.366365081383501,0.294701578754361,0.460975484569,0.328080769585815,0.337251913567084,0.321814800715942,0.469275820978951,0.469275820978951,NA,0.346589788692418,0.250245067911101,0.302351738495642,0.430378424271361,0.686401484223124,0.19944002115524,0.320607793703703,0.326026484758648,NA,0.473191099516147,NA,NA,3,2,1,2,1,1,2,1,1,0,0,0,0,0,0,1,1,0,1200,0.103929679420889,-0.6,1.11326754445438,NA,1.11326754445438,1.13374471500802,1.00621610306142,14,7,7,300,0,0,0,NA,0.659671537246578,NA,0.659671537246578,NA,0.601773315814201,7,4,3,5,3,2,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",1,1,0,2,1,1,"goncalo",FALSE,0.315138617823131,0.282859577675487,NA
"39","dgrp362","female","operant_place","blue","R","shock","3","11:00:00","17:46:54","L","G",0.151003302006604,0.020584498094028,0.281218274111675,0.0188391038696538,0.0223123732251521,0,0.561866125760649,0.151003302006604,0.628778257556515,0.134493268986538,0.555555555555556,0.6,0.5,1,0,0.333333333333333,1,0.529290966961968,0.619860380315772,0.435556733938849,0.544820442771103,0.515844693697487,0.461489115254459,0.461489115254459,NA,0.479453685243416,0.525128190705536,0.413192520768481,0.729506995193066,0.516424928583084,0.561289740666772,0.309823727210925,0.461489115254459,NA,NA,NA,0.616995156543502,0.460642774191038,0.54811854597682,0.0846769811307876,14,11,3,9,7,2,5,4,1,4,3,1,3,3,0,2,1,1,1200,0.0723888314374354,0,0.747176689900165,NA,0.747176689900165,0.823193802112266,0.706952926662197,5,4,1,300,0,NA,NA,NA,0.28442806513381,NA,0.28442806513381,NA,0.336456183941247,2,2,0,NA,NA,NA,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",5,4,1,NA,NA,NA,"goncalo",FALSE,0.0838961802464655,0.116175220394109,NA
"40","dgrp362","female","operant_place","blue","L","shock","3","11:00:00","17:46:54","X",NA,0.0116855074304585,0.0233799237611182,0,0,0.0466531440162272,0,0,0.0116855074304585,0.348914009907278,0.469325542995046,0,0.2,-1,NA,0.2,NA,-1,0.420825152359578,0.571411761185549,0.27306110114821,1.26585771019446,0.403066413471376,1.04256923781881,1.04256923781881,NA,0.344516787671013,0.53098695670373,0.240688452161872,0.259491893147472,0.864835918525394,0.265259093975436,0.280863108320984,1.04256923781881,NA,NA,NA,0.270071675757452,0.688320367506883,0.235861114704882,0.245779663370531,17,16,1,16,15,1,1,1,0,15,14,1,0,0,0,1,1,0,1200,0.33712512926577,-0.25,0.657692834735069,NA,0.657692834735069,0.350315026498952,0.584814101121684,9,6,3,300,0.0887755102040816,-1,-1,-1,0.485656683747432,NA,0.485656683747432,0.720762926306483,0.311832612343684,8,6,2,2,1,1,300,"r1","dgrp362_place_blue_r1_shock_female","/Users/riddha/Documents/Current_Work/Experiments/repeated_measures/operant_place/20231030/csv/dgrp362_place_blue_r1_shock/female","20231030",1,1,0,6,5,1,"goncalo",FALSE,0.223213974822611,0.255493014970255,NA
