genotype,treatment,mean,var,color,entropy,resid_entropy,ev,hell_ev,en_r1,en_r2,resid_en_r1,resid_en_r2,MV,hell_rep,MI_rep,mean_r1,mean_r2,var_r1,var_r2,perm.pval_rep
dgrp321,shock,0.310490684749443,0.107821721010042,gold,-0.189736422819689,1.40865729722896,NA,NA,-0.371661025095972,-0.10462023274589,2.02622962299529,1.36244748519163,4.23269498916278,0.0633692854816844,0.752394141840595,0.26138925156923,0.359592117929657,0.0375735841533203,0.180605086352443,0.412767300169363
dgrp321,noShock,0.255619046508528,0.0359330981800466,darkgray,-0.407149111396764,2.02913384080779,NA,NA,-0.862635143889355,-0.343824264284586,1.48270950890345,2.10657733323212,0.907036317801542,0.220016049819252,0.449868115695047,0.177520700283827,0.344874299336758,0.0298183761106711,0.029666428956055,0.0158474527436315
dgrp321,NA,0.283054865628986,0.0714246306230712,black,-0.29650875131228,1.39006200128611,0.466180319825322,0.0303018744113505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp304,shock,0.552981500699912,0.18075616626285,gold,0.4140560897322,2.09047787533588,NA,NA,0.549394213378467,-0.15984220402473,2.24297322643815,1.96009513512456,1.27471682753057,0.268643633947766,0.291103166032369,0.839406297263481,0.302359803706789,0.172675139554842,0.0562415966759694,0.000557137881210812
dgrp304,noShock,0.230586460519613,0.0396533408477463,darkgray,-0.376310284688978,1.8401485368625,NA,NA,-0.359889825570759,-0.431135163058242,1.53672246943722,1.77101636878359,3.4322390651628,0.0409489477602619,1.08889997534522,0.237350600367881,0.224667838152379,0.0435369729439097,0.038851013642119,0.861837721990624
dgrp304,NA,0.391783980609763,0.134761934494917,black,0.15457784678988,1.84534503635159,0.663070738673013,0.168001272145516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp309,shock,0.378099176426098,0.126074952180536,gold,0.127063158065363,1.88111521883071,NA,NA,-0.141547545060113,0.340877333460716,1.80371937776887,1.67311836264325,1.46067134240227,0.0791366048452462,0.620686852632802,0.336068870688778,0.426133811554464,0.0767860098695766,0.187985857936856,0.488237939530268
dgrp309,noShock,0.195005865522015,0.0350672990114983,darkgray,-0.474527363476913,1.89490886024464,NA,NA,-0.349534740239566,-1.05221299111711,1.84074872856928,1.35178399428965,2.41027185189477,0.18152565986175,0.586707045273723,0.270969074807383,0.10819076919588,0.0356913572315547,0.021826054839968,0.0175372184152993
dgrp309,NA,0.286552520974057,0.0877283507124795,black,-0.133981829352519,1.70735161985615,0.364449431145924,0.102239036065773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp362,shock,0.21494045309596,0.0222336146650116,gold,-0.584502830990004,2.09278525763728,NA,NA,-0.435779195504385,-0.82082816954439,2.11864924706995,1.99134641341099,1.82636366964105,0.075577019761756,0.395752794785279,0.248304364188728,0.181576542003191,0.0304335976702016,0.0132364243571664,0.220366457907696
dgrp362,noShock,0.153691526623213,0.0188157699887883,darkgray,-0.981797489430858,1.63666867469966,NA,NA,-1.72362034635077,-0.601977617047001,1.43888295021699,1.77213938843753,2.46528297444444,0.254383922108248,0.666089520105061,0.102663047758785,0.201075114140181,0.00745120890769351,0.0257316829365119,0.0625055421917487
dgrp362,NA,0.185927803714132,0.0212016902474437,black,-0.684054444658822,2.02811603185711,1.01146290525485,0.0647457604169193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp386,shock,0.317435474697843,0.0694287110261937,gold,-0.128573053183656,1.90467182596199,NA,NA,-0.10105694042364,-0.208722787377925,1.81951134896986,1.8288411561742,2.00756344480317,0.0403027171813848,0.482057416520813,0.360986931459131,0.26766238125637,0.0762447201955626,0.061902391924571,0.33313967961336
dgrp386,noShock,0.358724718502942,0.0918173404291943,darkgray,-0.000376973341599765,1.69574253416963,NA,NA,-0.270971504610262,0.247740669447957,1.80650716526167,1.67920433160271,1.23045465270455,0.0745141465358261,0.759316288744791,0.318278383699915,0.399171053305969,0.0386452493014782,0.148042300161142,0.464717394174226
dgrp386,NA,0.338080096600392,0.079689957915529,black,-0.053786060041154,1.73073353787803,0.570753842991926,0.0205977739738362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp59,shock,0.308871115350276,0.0567910674926288,gold,-0.221378525175853,1.90139764243602,NA,NA,-0.0378764469297134,-0.542146668667426,1.87345173755457,1.80951425584928,4.15666133518648,0.120670472128522,0.89794572485678,0.347930532882136,0.264231781028151,0.0859291030339392,0.0235151399883217,0.337198599844316
dgrp59,noShock,0.183139209959266,0.0170769286395593,darkgray,-0.773417282974734,2.11924608258106,NA,NA,-0.784744289656827,-0.717133422842579,1.86404357975203,1.89892678933633,2.36608041156005,0.0094176853377933,0.422810455240163,0.185955826164303,0.180322593754228,0.015303705193807,0.0200529327163234,0.906024286971752
dgrp59,NA,0.246005162654771,0.0403271113276656,black,-0.420239180351098,1.82768417778084,1.44547973907524,0.105398036269044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp390,shock,0.35215793767602,0.10843569121114,gold,0.0940061023541379,1.79163134252377,NA,NA,-0.0544919475144443,0.167443634096292,1.89431202473353,1.48781671640145,2.98060925002438,0.0478343516386235,0.534382230897267,0.308012171572439,0.396303703779601,0.0800790717783372,0.140361612877156,0.462776188443773
dgrp390,noShock,0.176900449331424,0.0455023053444382,darkgray,-0.656187261767285,1.43235268852163,NA,NA,-0.789128991730096,-0.611841292035013,1.18030455699462,1.69240886298655,0.579925844249866,0.103248492716865,0.561439891352152,0.177492441063056,0.176171844123261,0.0617858521985812,0.0289386881788369,0.986771627405756
dgrp390,NA,0.266014426455795,0.0839934216754581,black,-0.137659259888471,1.62878108854272,0.389027374375875,0.146377672729796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp405,shock,0.390025326477907,0.0999577369362019,gold,0.102613634608136,1.8579285774129,NA,NA,0.300398961779363,-0.173448973547677,1.87116041423181,1.87345173755457,2.94465968730982,0.0831540459326858,0.700069327464141,0.487911761572519,0.304374695770121,0.140831845516678,0.054429288821689,0.112676544193948
dgrp405,noShock,0.228370404808679,0.0302477975319525,darkgray,-0.512478673003907,1.99134641341099,NA,NA,-0.38489879737543,-0.70590010823708,1.96009513512456,1.67311836264325,2.41352910196596,0.050637387897783,0.811641103121246,0.237947174091751,0.217425525628026,0.0384478829411755,0.0228710297558973,0.747130725733932
dgrp405,NA,0.309197865643293,0.0706431390690634,black,-0.122830198590807,1.82945505421795,0.841597351575793,0.106226755448621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp437,shock,0.491857295494681,0.126242680094642,gold,0.25191073088123,1.99575086895982,NA,NA,0.193252649148474,0.298002137455287,2.10657733323212,1.84074872856928,2.72979148777036,0.0303333616846003,0.561439891352152,0.510181087593368,0.47582397740833,0.102136045455416,0.154963693080415,0.791605141841031
dgrp437,noShock,0.228551176238801,0.0648798675782639,darkgray,-0.405970668132547,1.58554286954458,NA,NA,-0.704877105972962,-0.123769450953674,1.60205591545873,1.67311836264325,0.659778178945718,0.0738770796768021,0.8639659174977,0.177563858765002,0.286822396208858,0.0393786164171443,0.0924387782881941,0.241157862124385
dgrp437,NA,0.360204235866741,0.111567891001325,black,0.0727990544302672,1.92334255217647,2.84206256915234,0.126883419173966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp486,shock,0.267725111814954,0.0487680977715077,gold,-0.290658769737053,1.79427716058342,NA,NA,-0.204491421465473,-0.408207309774734,1.71707598019888,1.84688912326104,0.956737722456104,0.0466347315654425,0.534382230897268,0.291019105260525,0.241103405020015,0.0614766859012235,0.0364246746882795,0.53681527079287
dgrp486,noShock,0.18557959105102,0.0277637858001495,darkgray,-0.5837547163745,1.82454560556493,NA,NA,-1.01035234038982,-0.344347721949534,1.83642238675416,1.72982013037992,0.742317386858375,0.138910976629893,0.752394141840595,0.127119575892447,0.252391036946532,0.0113526419659957,0.0398220165015281,0.0399410300913135
dgrp486,NA,0.226652351432987,0.03933293088647,black,-0.423175980386269,1.69438792564014,0.130126187433306,0.0363123729764223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dgrp584,shock,0.426550415564567,0.155714847867744,gold,0.284596220019707,1.93226366100877,NA,NA,0.233155073306141,0.362104797842154,1.80951425584928,1.85942881514923,0.104258596905741,0.0061197378369352,1.02965301406457,0.407831016148828,0.444021855019257,0.134505574071247,0.185854191901325,0.805063393163176
