DGRP	en_s	en_ns	LSM	kl	hell	jsd	centered_kl	centered_hell	centered_jsd
DGRP_100	-0.869946731123457	-0.949866750881185	0.023695659	0.192351886019256	0.0337597168079785	0.17647612400866	-0.0511675128397073	0.0169003439714914	0.0501093835816755
DGRP_101	-0.750438866958706	-0.921261884275265	0.079517166	0.537016276543879	0.1008790166628	0.30695934173665	0.222547669988234	0.0516363878593964	0.192188456494602
DGRP_105	-0.802307036522629	-0.827407691054005	0.022411251	0.141471186503457	0.0279759135474279	0.160435702319111	0.0649336696804838	0.0236962937793501	0.057906047605543
DGRP_109	-0.781114143997276	-0.999521209048523	0.077821947	0.689458706066331	0.107185128071471	0.310308107894701	0.23467286335297	0.0418542465643856	0.177257017719301
DGRP_129	-0.582527842322392	-1.0054057859732	0.033221911	0.554100185756183	0.0918299539404723	0.290169068209676	0.515928906426625	0.0773069980180501	0.198598594300038
DGRP_153	-0.510890774814611	-0.9123834132166	0.061564993	0.530540593396314	0.101958049227237	0.31035969421777	0.476429992413304	0.0778400382544431	0.201549117786945
DGRP_189	-0.63583560723749	-1.09040781795895	0.03989536	1.24988197815831	0.128815307007161	0.328270544885469	0.523422955707951	0.0955916151098767	0.173479410519734
DGRP_195	-0.72847084566479	-1.05475275350041	0.083853128	1.87446063644345	0.175621919382557	0.38032687272468	0.358310414031828	0.0655645233484049	0.15392097451159
DGRP_208	-0.627792808222459	-1.0703519979235	0.029416591	1.28222074312902	0.128868580467346	0.32781208823041	0.166642037958897	0.11220110167839	0.177901025492885
DGRP_021	-0.536844305976737	-0.726053458616625	0.105526696	0.66236142609728	0.103215968999638	0.303599091034663	0.0769849717504126	0.0874844616887599	0.128606427119395
DGRP_217	-1.02285819326493	-0.786358905045901	0.099433368	0.925161491107361	0.174105924751436	0.401855778280854	0.131163990808257	0.0425713317593038	0.127431440505335
DGRP_227	-0.722858750998016	-0.686074182775578	0.109339768	0.742895103841073	0.146305279785006	0.366214175024516	0.0904536558464879	0.0128845989816673	0.0791307641786201
DGRP_228	-0.808709210019617	-0.824116579144322	0.029115087	0.356559066443689	0.0909242762300211	0.292790954174714	0.0997482039420508	0.045568610219663	0.199046763507488
DGRP_026	-0.427871832591683	-0.742860816691626	-0.024475432	0.404057749508479	0.0481096295622342	0.209401832643715	0.339736836359184	0.0573371674106039	0.158221420704927
DGRP_303	-0.752223094522915	-0.722337012945907	0.1279749	0.697769487824754	0.155822668875199	0.383534175205719	0.378631718747973	0.0415889407059999	0.158349010106675
DGRP_304	-0.651156963103497	-0.783189029625787	0.037208143	0.393977230589774	0.0809292584051282	0.267863293592824	0.12538386557903	0.0510810403555135	0.163757048043219
DGRP_309	-0.723050095227457	-1.36524046822221	0.042706542	2.29697557608313	0.16348351181568	0.369839198375506	1.85832049881523	0.114253149174691	0.270242651769217
DGRP_031	-0.64505879643449	-1.24976618910973	0.079027556	3.98031488489785	0.227090943966044	0.426499831005499	1.34155644687049	0.141683526132527	0.216061089732534
