651,734,200,177
649,952,200,177
648,1168,200,177
648,1384,200,177
652,1893,200,177
652,2108,200,177
653,2325,200,177
655,2539,200,177
864,732,200,177
863,950,200,177
862,1165,200,177
862,1384,200,177
862,1893,200,177
863,2110,200,177
866,2325,200,177
867,2540,200,177
1514,728,200,177
1513,949,200,177
1512,1168,200,177
1512,1386,200,177
1520,1897,200,177
1517,2117,200,177
1517,2331,200,177
1514,2547,200,177
1735,729,200,177
1731,946,200,177
1729,1165,200,177
1728,1384,200,177
1741,1903,200,177
1738,2123,200,177
1738,2338,200,177
1735,2551,200,177
2395,730,200,177
2393,950,200,177
2395,1166,200,177
2397,1385,200,177
2396,1897,200,177
2393,2118,200,177
2388,2335,200,177
2388,2550,200,177
2612,732,200,177
2613,949,200,177
2614,1165,200,177
2614,1384,200,177
2614,1901,200,177
2608,2117,200,177
2606,2333,200,177
2602,2550,200,177
3254,734,200,177
3256,952,200,177
3259,1168,200,177
3257,1386,200,177
3251,1896,200,177
3251,2112,200,177
3250,2325,200,177
3249,2540,200,177
3463,735,200,177
3465,952,200,177
3466,1169,200,177
3465,1384,200,177
3464,1889,200,177
3460,2105,200,177
3459,2319,200,177
3458,2533,200,177
