contrast,estimate,SE,df,t.ratio,p.value,genotype,sex
noShock dgrp721 - shock dgrp721,-0.001325894,0.027454669,4938.102056,-0.048293923,1,dgrp721,NA
noShock dgrp732 - shock dgrp732,0.040185925,0.027695761,5014.734263,1.450977451,1,dgrp732,NA
noShock dgrp737 - shock dgrp737,0.026086227,0.027751312,5018.717286,0.939999753,1,dgrp737,NA
noShock dgrp738 - shock dgrp738,0.03017473,0.027488627,5024.643814,1.097716878,1,dgrp738,NA
noShock dgrp75 - shock dgrp75,0.099161709,0.027498025,4993.776409,3.606139238,0.695878503,dgrp75,NA
noShock dgrp765 - shock dgrp765,0.000585754,0.027703601,5022.917035,0.021143609,1,dgrp765,NA
noShock dgrp776 - shock dgrp776,0.017578024,0.027457574,5024.697711,0.640188545,1,dgrp776,NA
noShock dgrp786 - shock dgrp786,0.053486085,0.027936736,5037.782188,1.914543123,1,dgrp786,NA
noShock dgrp787 - shock dgrp787,0.045182137,0.027475418,5024.274461,1.644456795,1,dgrp787,NA
noShock dgrp790 - shock dgrp790,-0.005808133,0.027716719,5017.362041,-0.209553418,1,dgrp790,NA
noShock dgrp801 - shock dgrp801,0.150398824,0.027488768,4937.047123,5.471282703,0.0006598,dgrp801,NA
noShock dgrp802 - shock dgrp802,0.048725169,0.027484482,4996.373984,1.772824743,1,dgrp802,NA
noShock dgrp804 - shock dgrp804,0.06290388,0.027398029,5017.602114,2.295927154,0.999999981,dgrp804,NA
noShock dgrp805 - shock dgrp805,0.046955267,0.027573965,5033.962206,1.702884143,1,dgrp805,NA
noShock dgrp808 - shock dgrp808,0.122059902,0.027451588,5032.472316,4.446369371,0.07558742,dgrp808,NA
noShock dgrp818 - shock dgrp818,0.075601399,0.028171894,5040.339028,2.683575339,0.999885279,dgrp818,NA
noShock dgrp820 - shock dgrp820,-0.047950852,0.027688258,5033.520277,-1.731811821,1,dgrp820,NA
noShock dgrp821 - shock dgrp821,0.115562506,0.027101882,5007.886831,4.264003017,0.143798158,dgrp821,NA
noShock dgrp822 - shock dgrp822,0.070174645,0.027465333,4996.053214,2.555026156,0.999989253,dgrp822,NA
noShock dgrp850 - shock dgrp850,0.001625018,0.027567867,5023.150626,0.058946073,1,dgrp850,NA
noShock dgrp853 - shock dgrp853,-0.018529502,0.02767317,5034.086513,-0.669583647,1,dgrp853,NA
