"treatment","genotype","emmean","SE","df","lower.CL","upper.CL"
"105","noShock","dgrp627",0.274842311166952,0.0200419009527733,285.922429016645,0.235393927221034,0.314290695112869
"106","shock","dgrp627",0.25456819905594,0.0203845632009818,238.58968236094,0.214411493281018,0.294724904830862
"107","noShock","dgrp705",0.269366529488476,0.0206387053140589,359.159179221709,0.228778637580334,0.309954421396619
"108","shock","dgrp705",0.189296291177234,0.0206313331149507,386.170216910135,0.148732490164335,0.229860092190133
"109","noShock","dgrp712",0.279466119968704,0.0199187724935848,354.240844465302,0.240292202558458,0.31864003737895
"110","shock","dgrp712",0.215170815658457,0.0198614363556273,347.646239972881,0.176107120038251,0.254234511278663
"111","noShock","dgrp716",0.276162084346644,0.0198770640549672,351.332677578781,0.237069084925202,0.315255083768086
"112","shock","dgrp716",0.261465056679377,0.0198974336733147,350.0778939649,0.222331510696372,0.300598602662382
"113","noShock","dgrp721",0.266955662869034,0.0200134581865588,304.577544316777,0.227573515528663,0.306337810209405
"114","shock","dgrp721",0.268326509657916,0.0200318414242641,240.157644132797,0.228865963879259,0.307787055436572
"115","noShock","dgrp732",0.292198643221931,0.0200121418977497,346.316451290303,0.252838010281898,0.331559276161963
"116","shock","dgrp732",0.252598398828907,0.0203018830424726,358.982661902631,0.212672832189798,0.292523965468015
"117","noShock","dgrp737",0.28956841592546,0.0200013038510928,342.905172257278,0.250227727223773,0.328909104627148
"118","shock","dgrp737",0.2640250000248,0.0203480372156897,368.725887382188,0.224012243323593,0.304037756726008
"119","noShock","dgrp738",0.305204613550303,0.0199994064089805,342.660903903546,0.265867557621647,0.344541669478959
"120","shock","dgrp738",0.274878348366233,0.0200078750819936,346.156807920053,0.235526043915974,0.314230652816493
"121","noShock","dgrp75",0.347715296012231,0.0200350834313997,344.898369373672,0.308308972623697,0.387121619400765
"122","shock","dgrp75",0.248319682104447,0.0199965572185226,342.274580976126,0.208988072936424,0.287651291272469
"123","noShock","dgrp765",0.300387291992089,0.0203243500688049,286.544310071212,0.260383333744565,0.340391250239613
"124","shock","dgrp765",0.300631510560059,0.0200538131310261,241.617638210404,0.261128891784678,0.34013412933544
"125","noShock","dgrp776",0.311253694339904,0.0199906352968529,344.952425522331,0.27193481616989,0.350572572509917
"126","shock","dgrp776",0.293774144998306,0.0199873866067532,342.030861846657,0.254460474279936,0.333087815716677
"127","noShock","dgrp786",0.273266060225755,0.0206638000100682,391.938409259221,0.232640304847751,0.313891815603759
"128","shock","dgrp786",0.219724606803689,0.0199920868514804,345.063167522801,0.180402918051633,0.259046295555745
"129","noShock","dgrp787",0.304190429529901,0.0200356386471559,347.789164279742,0.264784167461312,0.34359669159849
"130","shock","dgrp787",0.258630023750182,0.0199832884776266,341.772008520008,0.219324308032527,0.297935739467836
"131","noShock","dgrp790",0.235035605010414,0.0200059678500543,343.135286697296,0.195685836123837,0.274385373896992
"132","shock","dgrp790",0.240785935489254,0.0203288835800751,367.292648425612,0.200810329174396,0.280761541804113
"133","noShock","dgrp801",0.313846054699977,0.0200079381039903,304.486046838898,0.274474722489419,0.353217386910535
"134","shock","dgrp801",0.163318645135634,0.0200520485640874,241.042347273163,0.123819027717414,0.202818262553853
"135","noShock","dgrp802",0.290547897228218,0.0199905516452682,342.181366674179,0.251228062529737,0.329867731926698
"136","shock","dgrp802",0.24195988861889,0.0199998726899214,342.638287195316,0.202621906353859,0.281297870883921
"137","noShock","dgrp804",0.286345707132333,0.0199005437073639,350.426039730243,0.247206179338408,0.325485234926259
"138","shock","dgrp804",0.223880364807073,0.0201967526047642,372.93676291766,0.18416657357887,0.263594156035275
"139","noShock","dgrp805",0.295349777396656,0.0200585714895133,349.321651683734,0.255899015168017,0.334800539625294
"140","shock","dgrp805",0.248765334018927,0.0200807368407875,350.969692324653,0.209271622177194,0.288259045860661
"141","noShock","dgrp808",0.340704037628154,0.0200082364497989,343.241819778188,0.301349849861204,0.380058225395104
"142","shock","dgrp808",0.218026484775041,0.0199778263214259,341.443673234719,0.178731378455597,0.257321591094484
"143","noShock","dgrp818",0.35168347544842,0.0206734017396182,392.663982553621,0.311039075357223,0.392327875539616
"144","shock","dgrp818",0.27640352885487,0.0203094803414169,366.043953264081,0.236465627522335,0.316341430187405
"145","noShock","dgrp820",0.261023103524466,0.0203227320592064,366.71000473734,0.221059383920156,0.300986823128776
"146","shock","dgrp820",0.309174143361925,0.0199851783445245,341.937990089111,0.269864778216432,0.348483508507418
"147","noShock","dgrp821",0.310187925128677,0.0198936901959377,349.716797421229,0.271061601535542,0.349314248721812
"148","shock","dgrp821",0.195195822134195,0.0198729232286597,348.251380484127,0.156109771262786,0.234281873005603
"149","noShock","dgrp822",0.271412215984084,0.0200072445505077,343.176582172026,0.232059952713814,0.310764479254355
"150","shock","dgrp822",0.201096308295829,0.0199911280156145,342.263744184928,0.161775373512776,0.240417243078881
"151","noShock","dgrp850",0.310246210320462,0.0199986209562649,342.572008126433,0.270910663129335,0.349581757511589
"152","shock","dgrp850",0.308906917041681,0.0201985130156923,358.357189660986,0.269184402781121,0.34862943130224
"153","noShock","dgrp853",0.2727901270832,0.0200296005811307,347.429402454737,0.233395598289705,0.312184655876695
"154","shock","dgrp853",0.291269558934572,0.020326388247144,366.883664343135,0.251298712250194,0.331240405618951
"155","noShock","dgrp855",0.286743447263523,0.0200276511053438,347.27975911846,0.247352693398128,0.326134201128919
"156","shock","dgrp855",0.228902118941242,0.0199744665725737,341.25444977184,0.189613543542774,0.268190694339711
"157","noShock","dgrp859",0.31270386609852,0.0203040349225048,359.03538232296,0.272774087417784,0.352633644779256
"158","shock","dgrp859",0.20894142581941,0.0209688543409046,405.394169567881,0.167720160784893,0.250162690853926
"159","noShock","dgrp861",0.260831245871908,0.0199120595095466,350.734350063392,0.221669188597551,0.299993303146266
"160","shock","dgrp861",0.178432133740691,0.0201797992340255,371.742050146169,0.13875126350696,0.218113003974422
"161","noShock","dgrp879",0.30661772453128,0.0200168386058208,346.636637442143,0.267247981455322,0.345987467607238
"162","shock","dgrp879",0.166880386982347,0.0203366579191048,367.880087269712,0.126889703973088,0.206871069991606
"163","noShock","dgrp884",0.257294939755474,0.0198855366935564,352.266685945204,0.218185635291756,0.296404244219192
"164","shock","dgrp884",0.231764358971189,0.0198893539061572,349.470139748823,0.192646467988845,0.270882249953533
"165","noShock","dgrp892",0.301929518931052,0.0200158961624619,346.584669580997,0.262561608801025,0.341297429061078
"166","shock","dgrp892",0.275874752479802,0.0200916013419235,348.40166065629,0.236358665094754,0.31539083986485
"167","noShock","dgrp897",0.315056015012183,0.0206691595412056,378.020273987691,0.274415087906852,0.355696942117513
"168","shock","dgrp897",0.228190228805699,0.0202882799788922,364.607528839354,0.188293495872879,0.268086961738518
"169","noShock","dgrp91",0.308847916555188,0.0200197181911454,346.930939712767,0.269472626846259,0.348223206264117
"170","shock","dgrp91",0.383385264304972,0.019990420832119,345.001788173464,0.344066827764316,0.422703700845628
"171","noShock","dgrp911",0.25516659326177,0.0199913948162506,342.208944208882,0.215845111359624,0.294488075163915
"172","shock","dgrp911",0.269718351573841,0.0200113942398636,346.463031486449,0.230359247549931,0.30907745559775
"173","noShock","dgrp913",0.319864370443903,0.0200106050087863,346.185414408496,0.280506708072552,0.359222032815255
"174","shock","dgrp913",0.253345806001694,0.0202832945638354,364.227602073761,0.21345873828477,0.293232873718619
"175","noShock","dgrp93",0.334435862639012,0.0203182526106298,366.40682244084,0.294480842196272,0.374390883081752
"176","shock","dgrp93",0.260829042879503,0.0199741599677251,344.004608985295,0.221542188358801,0.300115897400204
