"id","genotype","sex","exp_type","shock_color","shock_arm","treatment","replicates","ZT0","ZT","starting_arm","starting_color","frac_time_on_shocked","first_half_frac_time_on_shocked","second_half_frac_time_on_shocked","frac_time_on_shockArm","frac_time_on_neutral_left","frac_time_on_neutral_right","left_handedness","first_half_left_handedness","second_half_left_handedness","activity","first_half_activity","second_half_activity","activity_shock","activity_noShock","activity_shock_color","first_half_activity_shock_color","second_half_activity_shock_color","activity_noShock_color","first_half_activity_noShock_color","second_half_activity_noShock_color","total_choices","correct_choices","incorrect_choices","first_half_total_choices","first_half_correct_choices","first_half_incorrect_choices","analysis_time","bias_frac_time_on_shocked","bias_left_handedness","bias_activity","bias_activity_shock","bias_activity_noShock","bias_activity_shock_color","bias_activity_noShock_color","bias_total_choices","bias_correct_choices","bias_incorrect_choices","bias_analysis_time","post_frac_time_on_shocked","post_left_handedness","post_first_half_left_handedness","post_second_half_left_handedness","post_activity","post_activity_shock","post_activity_noShock","post_activity_shock_color","post_activity_noShock_color","post_total_choices","post_correct_choices","post_incorrect_choices","post_first_half_total_choices","post_first_half_correct_choices","post_first_half_incorrect_choices","post_analysis_time","group","group_sex","folder","experiment_date","second_half_total_choices","second_half_correct_choices","second_half_incorrect_choices","post_second_half_total_choices","post_second_half_correct_choices","post_second_half_incorrect_choices","experiment_by","head_scanned","abs_dev","abs_dev_sex"
17,"dgrp732","female","operant_place","blue","M","noShock",1,"16:00:00","16:45:43","M","B",0.26726310483871,0.239838424640242,0.294517102615694,0.26726310483871,0.280871975806452,0.291204637096774,-0.0810810810810811,-0.0384615384615385,-0.137931034482759,2.10481980190415,2.00285336277602,2.20647818532495,NA,2.10481980190415,1.70815696081082,1.73350258989115,1.54024216815356,1.46625142808396,1.45046484902222,1.48231077741027,94,63,31,35,25,10,1200,0.257894736842105,0.777777777777778,1.39980011057895,NA,1.39980011057895,1.57442750252804,1.10488960305483,10,6,4,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp732_noShock","dgrp732_noShock_female","operant_place/20230621/csv/dgrp732_noShock/female",20230621,59,38,21,NA,NA,NA,"riddha",FALSE,0.0109362724405201,0.0316766899989996
18,"dgrp732","female","operant_place","blue","R","noShock",1,"16:00:00","16:45:43","R","B",0.170614919354839,0.184044433223933,0.157444668008048,0.170614919354839,0.340347782258065,0.316658266129032,0.115044247787611,0.193548387096774,0.0196078431372549,2.13596990079419,2.25145727271246,2.02083143332281,NA,2.13596990079419,1.68096590649101,1.68096590649101,NA,1.56034831616329,1.51470838482463,1.60658097388297,101,74,27,45,32,13,1200,0.178226514486392,-0.0476190476190476,2.55055521792355,NA,2.55055521792355,1.61627550087686,1.73924218665407,25,20,5,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp732_noShock","dgrp732_noShock_female","operant_place/20230621/csv/dgrp732_noShock/female",20230621,56,42,14,NA,NA,NA,"riddha",FALSE,0.107584457924391,0.128324875482871
19,"dgrp732","female","operant_place","blue","L","noShock",1,"16:00:00","16:45:43","L","B",0.258694556451613,0.230497349154254,0.28672032193159,0.258694556451613,0.313886088709677,0.272681451612903,-0.186440677966102,-0.186440677966102,-0.186440677966102,2.16831224429878,2.16340668616519,2.17320298201506,NA,2.16831224429878,1.40846295537198,1.45385792128883,1.08546031327129,1.56449971975578,1.55053333772486,1.57880008048743,102,71,31,41,29,12,1200,0.217734855136084,0.0526315789473684,2.44193945416197,NA,2.44193945416197,1.64226542157178,1.41102714020472,22,15,7,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp732_noShock","dgrp732_noShock_female","operant_place/20230621/csv/dgrp732_noShock/female",20230621,61,42,19,NA,NA,NA,"riddha",FALSE,0.019504820827617,0.0402452383860964
20,"dgrp732","female","operant_place","blue","M","noShock",1,"16:00:00","16:45:43","R","G",0.222782258064516,0.195910123706135,0.249496981891348,0.222782258064516,0.339465725806452,0.25163810483871,0.0208333333333333,0.132075471698113,-0.142857142857143,1.8136654076692,1.97775239865445,1.65007414777455,NA,1.8136654076692,1.50058152465328,1.50058152465328,NA,1.40353428463345,1.55226771557666,1.26982443257339,90,59,31,42,28,14,1200,0.271290605794557,-0.0909090909090909,2.56540643158357,NA,2.56540643158357,1.94425141967962,2.00319828631716,22,14,8,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp732_noShock","dgrp732_noShock_female","operant_place/20230621/csv/dgrp732_noShock/female",20230621,48,31,17,NA,NA,NA,"riddha",FALSE,0.0554171192147137,0.0761575367731932
21,"dgrp732","female","operant_place","blue","R","noShock",1,"16:00:00","16:45:43","M","G",0.204637096774194,0.18151981822772,0.227867203219316,0.204637096774194,0.341985887096774,0.337323588709677,-0.285714285714286,-0.269230769230769,-0.3125,1.74945435397004,2.00188529268158,1.49778604649329,NA,1.74945435397004,1.49509628217279,1.49509628217279,NA,1.17538336488466,1.35420536980824,1.00752999595083,78,58,20,36,29,7,1200,0.108867427568042,-0.466666666666667,2.01426242244245,NA,2.01426242244245,1.89434504369822,1.2671208291645,16,12,4,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp732_noShock","dgrp732_noShock_female","operant_place/20230621/csv/dgrp732_noShock/female",20230621,42,29,13,NA,NA,NA,"riddha",FALSE,0.0735622805050363,0.0943026980635158
22,"dgrp732","female","operant_place","blue","L","noShock",1,"16:00:00","16:45:43","M","G",0.264742943548387,0.28578641757132,0.243712273641851,0.264742943548387,0.386844758064516,0.173135080645161,0.371428571428571,0.294117647058824,0.444444444444444,1.35881880973138,1.3239749052647,1.39355744560451,NA,1.35881880973138,1.27996307473221,1.26049375796669,1.38792928588644,1.14504553252188,1.03983691988316,1.25485846081219,59,40,19,25,16,9,1200,0.283085013146363,0.571428571428571,1.78120186444136,NA,1.78120186444136,1.13061361249663,1.19235822320075,16,10,6,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp732_noShock","dgrp732_noShock_female","operant_place/20230621/csv/dgrp732_noShock/female",20230621,34,24,10,NA,NA,NA,"riddha",FALSE,0.0134564337308427,0.0341968512893222
23,"dgrp732","female","operant_place","blue","M","noShock",1,"16:00:00","16:45:43","M","B",0.329385080645161,0.394344862408483,0.264587525150905,0.329385080645161,0.175655241935484,0.367439516129032,-0.0793650793650794,-0.225806451612903,0.0625,1.57354467115682,1.58445590310355,1.56266640365706,NA,1.57354467115682,1.13784960980603,1.15763816388124,1.00369485350206,1.33677424646245,1.37511657070209,1.29461503926684,59,38,21,26,14,12,1200,0.451754385964912,-0.272727272727273,1.7592683707521,NA,1.7592683707521,1.33858763534825,1.36663784726441,12,7,5,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp732_noShock","dgrp732_noShock_female","operant_place/20230621/csv/dgrp732_noShock/female",20230621,33,24,9,NA,NA,NA,"riddha",FALSE,0.0511857033659315,0.030445285807452
24,"dgrp732","female","operant_place","blue","R","noShock",1,"16:00:00","16:45:43","M","G",0.212953629032258,0.27417318858874,0.151911468812877,0.212953629032258,0.378654233870968,0.299773185483871,-0.164556962025316,-0.384615384615385,0.05,1.67064108958462,1.63613382856015,1.70504409906521,NA,1.67064108958462,1.34816860774449,1.34816860774449,NA,1.23558723286098,1.26582556003878,1.20534890568318,76,56,20,28,22,6,1200,0.258545135845749,-0.111111111111111,1.54013213881324,NA,1.54013213881324,1.40196032146764,1.03656677783698,10,6,4,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp732_noShock","dgrp732_noShock_female","operant_place/20230621/csv/dgrp732_noShock/female",20230621,48,34,14,NA,NA,NA,"riddha",FALSE,0.0652457482469718,0.0859861658054513
49,"dgrp732","female","operant_place","blue","L","noShock",2,"16:00:00","16:45:43","R","G",0.259576612903226,0.251451653622823,0.267605633802817,0.259576612903226,0.298261088709677,0.216229838709677,-0.00813008130081301,0.261538461538462,-0.310344827586207,2.13285377261008,2.2464545907452,2.01959615936358,NA,2.13285377261008,1.90220078864155,1.97885193964003,1.59360524566068,1.68719070972796,1.74039686354322,1.63424097111181,110,73,37,48,34,14,1200,0.294376098418278,0.363636363636364,2.58633120728959,NA,2.58633120728959,1.40267719305313,1.99105841309435,23,16,7,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp732_noShock","dgrp732_noShock_female","operant_place/20230621/csv/dgrp732_noShock/female",20230621,62,39,23,NA,NA,NA,"riddha",FALSE,0.018622764376004,0.0393631819344835
50,"dgrp732","female","operant_place","blue","M","noShock",2,"16:00:00","16:45:43","M","B",0.334173387096774,0.313809644029286,0.354376257545272,0.334173387096774,0.236769153225806,0.211315524193548,0.155555555555556,0.25,0.08,1.54038865327967,1.38363770603428,1.69666603270862,NA,1.54038865327967,1.06229818487994,0.997253666674923,1.29929207299328,1.34188079628598,1.24496263425742,1.44383366803031,72,47,25,26,17,9,1200,0.882352941176471,0,0.534136608630822,NA,0.534136608630822,0.231604694769093,2.04552639836973,5,2,3,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp732_noShock","dgrp732_noShock_female","operant_place/20230621/csv/dgrp732_noShock/female",20230621,46,30,16,NA,NA,NA,"riddha",FALSE,0.0559740098175444,0.0352335922590649
